variant,cases,pct
A_SUBMITTED->A_PARTLYSUBMITTED->A_DECLINED,3429,26.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_DECLINED->W_Afhandelen leads,1872,14.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Afhandelen leads->A_DECLINED->W_Afhandelen leads,271,2.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->A_DECLINED->W_Completeren aanvraag,209,1.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_DECLINED->W_Completeren aanvraag,160,1.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_CANCELLED->W_Completeren aanvraag,134,1.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,126,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,93,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,89,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,74,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,63,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Afhandelen leads->W_Afhandelen leads->A_DECLINED->W_Afhandelen leads,58,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->A_CANCELLED->W_Completeren aanvraag,55,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,54,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,44,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,40,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,33,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Beoordelen fraude->A_DECLINED->W_Beoordelen fraude,32,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Afhandelen leads->A_PREACCEPTED->W_Afhandelen leads->A_DECLINED->W_Completeren aanvraag,31,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,30,0.0
